Date,Ozone_AQI_Value,Site Name,Site ID,Source
10/11/2015,44,Delaware,39-041-0002,AQS
10/12/2015,45,New Albany,39-049-0029,AQS
10/13/2015,22,Delaware,39-041-0002,AQS
10/14/2015,28,New Albany,39-049-0029,AQS
10/15/2015,36,Delaware,39-041-0002,AQS
10/16/2015,35,London,39-097-0007,AQS
10/17/2015,30,Delaware,39-041-0002,AQS
10/18/2015,33,Delaware,39-041-0002,AQS
10/19/2015,41,London,39-097-0007,AQS
10/20/2015,47,New Albany,39-049-0029,AQS
10/21/2015,48,Delaware,39-041-0002,AQS
10/22/2015,49,London,39-097-0007,AQS
10/23/2015,36,Delaware,39-041-0002,AQS
10/24/2015,30,New Albany,39-049-0029,AQS
10/25/2015,30,Delaware,39-041-0002,AQS
10/26/2015,31,Delaware,39-041-0002,AQS
10/27/2015,25,New Albany,39-049-0029,AQS
10/28/2015,24,New Albany,39-049-0029,AQS
10/29/2015,28,New Albany,39-049-0029,AQS
10/30/2015,17,Heath,39-089-0005,AQS
10/31/2015,21,New Albany,39-049-0029,AQS
4/1/2016,39,New Albany,39-049-0029,AQS
4/2/2016,38,Delaware,39-041-0002,AQS
4/3/2016,42,New Albany,39-049-0029,AQS
4/4/2016,37,Delaware,39-041-0002,AQS
4/5/2016,42,Delaware,39-041-0002,AQS
4/6/2016,44,New Albany,39-049-0029,AQS
4/7/2016,38,Delaware,39-041-0002,AQS
4/8/2016,36,Delaware,39-041-0002,AQS
4/9/2016,39,Delaware,39-041-0002,AQS
4/10/2016,39,New Albany,39-049-0029,AQS
4/11/2016,39,London,39-097-0007,AQS
4/12/2016,39,New Albany,39-049-0029,AQS
4/13/2016,44,Maple Canyon,39-049-0081,AQS
4/14/2016,51,Maple Canyon,39-049-0081,AQS
4/15/2016,74,Maple Canyon,39-049-0081,AQS
4/16/2016,84,Delaware,39-041-0002,AQS
4/17/2016,93,Maple Canyon,39-049-0081,AQS
4/18/2016,119,New Albany,39-049-0029,AQS
4/19/2016,46,New Albany,39-049-0029,AQS
4/20/2016,80,New Albany,39-049-0029,AQS
4/21/2016,48,New Albany,39-049-0029,AQS
