Date,Nitrogen_Dioxide_AQI_Value,Site Name,Site ID,Source
7/12/2013,12,FRANKLIN_PK,39-049-0037,AQS
7/13/2013,7,FRANKLIN_PK,39-049-0037,AQS
7/14/2013,8,FRANKLIN_PK,39-049-0037,AQS
7/15/2013,22,FRANKLIN_PK,39-049-0037,AQS
7/16/2013,29,FRANKLIN_PK,39-049-0037,AQS
7/17/2013,20,FRANKLIN_PK,39-049-0037,AQS
7/18/2013,22,FRANKLIN_PK,39-049-0037,AQS
7/19/2013,19,FRANKLIN_PK,39-049-0037,AQS
7/20/2013,9,FRANKLIN_PK,39-049-0037,AQS
7/21/2013,10,FRANKLIN_PK,39-049-0037,AQS
7/22/2013,16,FRANKLIN_PK,39-049-0037,AQS
7/23/2013,12,FRANKLIN_PK,39-049-0037,AQS
7/24/2013,6,FRANKLIN_PK,39-049-0037,AQS
7/25/2013,27,FRANKLIN_PK,39-049-0037,AQS
7/26/2013,26,FRANKLIN_PK,39-049-0037,AQS
7/27/2013,8,FRANKLIN_PK,39-049-0037,AQS
7/28/2013,8,FRANKLIN_PK,39-049-0037,AQS
7/29/2013,22,FRANKLIN_PK,39-049-0037,AQS
7/30/2013,34,FRANKLIN_PK,39-049-0037,AQS
7/31/2013,18,FRANKLIN_PK,39-049-0037,AQS
8/1/2013,12,FRANKLIN_PK,39-049-0037,AQS
8/2/2013,25,FRANKLIN_PK,39-049-0037,AQS
8/3/2013,24,FRANKLIN_PK,39-049-0037,AQS
8/4/2013,20,FRANKLIN_PK,39-049-0037,AQS
8/5/2013,17,FRANKLIN_PK,39-049-0037,AQS
8/6/2013,16,FRANKLIN_PK,39-049-0037,AQS
8/7/2013,23,FRANKLIN_PK,39-049-0037,AQS
8/8/2013,18,FRANKLIN_PK,39-049-0037,AQS
8/9/2013,27,FRANKLIN_PK,39-049-0037,AQS
8/10/2013,22,FRANKLIN_PK,39-049-0037,AQS
8/11/2013,22,FRANKLIN_PK,39-049-0037,AQS
8/12/2013,23,FRANKLIN_PK,39-049-0037,AQS
8/13/2013,12,FRANKLIN_PK,39-049-0037,AQS
8/14/2013,17,FRANKLIN_PK,39-049-0037,AQS
8/15/2013,15,FRANKLIN_PK,39-049-0037,AQS
8/16/2013,18,FRANKLIN_PK,39-049-0037,AQS
8/17/2013,10,FRANKLIN_PK,39-049-0037,AQS
8/18/2013,14,FRANKLIN_PK,39-049-0037,AQS
8/19/2013,23,FRANKLIN_PK,39-049-0037,AQS
8/20/2013,23,FRANKLIN_PK,39-049-0037,AQS
8/21/2013,17,FRANKLIN_PK,39-049-0037,AQS
8/22/2013,10,FRANKLIN_PK,39-049-0037,AQS
8/23/2013,10,FRANKLIN_PK,39-049-0037,AQS
8/24/2013,22,FRANKLIN_PK,39-049-0037,AQS
8/25/2013,20,FRANKLIN_PK,39-049-0037,AQS
8/26/2013,16,FRANKLIN_PK,39-049-0037,AQS
8/27/2013,15,FRANKLIN_PK,39-049-0037,AQS
8/28/2013,13,FRANKLIN_PK,39-049-0037,AQS
8/29/2013,23,FRANKLIN_PK,39-049-0037,AQS
8/30/2013,22,FRANKLIN_PK,39-049-0037,AQS
8/31/2013,16,FRANKLIN_PK,39-049-0037,AQS
9/1/2013,11,FRANKLIN_PK,39-049-0037,AQS
9/2/2013,11,FRANKLIN_PK,39-049-0037,AQS
9/3/2013,13,FRANKLIN_PK,39-049-0037,AQS
9/4/2013,21,FRANKLIN_PK,39-049-0037,AQS
9/5/2013,19,FRANKLIN_PK,39-049-0037,AQS
9/6/2013,33,FRANKLIN_PK,39-049-0037,AQS
9/7/2013,25,FRANKLIN_PK,39-049-0037,AQS
9/8/2013,15,FRANKLIN_PK,39-049-0037,AQS
9/9/2013,10,FRANKLIN_PK,39-049-0037,AQS
9/10/2013,11,FRANKLIN_PK,39-049-0037,AQS
9/11/2013,16,FRANKLIN_PK,39-049-0037,AQS
9/12/2013,19,FRANKLIN_PK,39-049-0037,AQS
9/13/2013,13,FRANKLIN_PK,39-049-0037,AQS
9/14/2013,23,FRANKLIN_PK,39-049-0037,AQS
9/15/2013,25,FRANKLIN_PK,39-049-0037,AQS
9/16/2013,12,FRANKLIN_PK,39-049-0037,AQS
9/17/2013,11,FRANKLIN_PK,39-049-0037,AQS
9/18/2013,10,FRANKLIN_PK,39-049-0037,AQS
9/19/2013,13,FRANKLIN_PK,39-049-0037,AQS
9/20/2013,13,FRANKLIN_PK,39-049-0037,AQS
9/21/2013,13,FRANKLIN_PK,39-049-0037,AQS
9/22/2013,8,FRANKLIN_PK,39-049-0037,AQS
9/23/2013,14,FRANKLIN_PK,39-049-0037,AQS
9/24/2013,25,FRANKLIN_PK,39-049-0037,AQS
9/25/2013,31,FRANKLIN_PK,39-049-0037,AQS
9/26/2013,29,FRANKLIN_PK,39-049-0037,AQS
9/27/2013,21,FRANKLIN_PK,39-049-0037,AQS
9/28/2013,16,FRANKLIN_PK,39-049-0037,AQS
9/29/2013,14,FRANKLIN_PK,39-049-0037,AQS
9/30/2013,23,FRANKLIN_PK,39-049-0037,AQS
10/1/2013,27,FRANKLIN_PK,39-049-0037,AQS
10/2/2013,28,FRANKLIN_PK,39-049-0037,AQS
10/3/2013,21,FRANKLIN_PK,39-049-0037,AQS
10/4/2013,16,FRANKLIN_PK,39-049-0037,AQS
10/5/2013,13,FRANKLIN_PK,39-049-0037,AQS
10/6/2013,4,FRANKLIN_PK,39-049-0037,AQS
10/7/2013,14,FRANKLIN_PK,39-049-0037,AQS
10/8/2013,23,FRANKLIN_PK,39-049-0037,AQS
10/9/2013,25,FRANKLIN_PK,39-049-0037,AQS
10/10/2013,25,FRANKLIN_PK,39-049-0037,AQS
10/11/2013,31,FRANKLIN_PK,39-049-0037,AQS
10/12/2013,15,FRANKLIN_PK,39-049-0037,AQS
10/13/2013,17,FRANKLIN_PK,39-049-0037,AQS
10/14/2013,26,FRANKLIN_PK,39-049-0037,AQS
10/15/2013,16,FRANKLIN_PK,39-049-0037,AQS
10/16/2013,14,FRANKLIN_PK,39-049-0037,AQS
10/17/2013,24,FRANKLIN_PK,39-049-0037,AQS
10/18/2013,23,FRANKLIN_PK,39-049-0037,AQS
10/19/2013,19,FRANKLIN_PK,39-049-0037,AQS
10/20/2013,11,FRANKLIN_PK,39-049-0037,AQS
10/21/2013,19,FRANKLIN_PK,39-049-0037,AQS
10/22/2013,17,FRANKLIN_PK,39-049-0037,AQS
10/23/2013,19,FRANKLIN_PK,39-049-0037,AQS
10/24/2013,18,FRANKLIN_PK,39-049-0037,AQS
10/25/2013,16,FRANKLIN_PK,39-049-0037,AQS
10/26/2013,17,FRANKLIN_PK,39-049-0037,AQS
10/27/2013,19,FRANKLIN_PK,39-049-0037,AQS
10/28/2013,28,FRANKLIN_PK,39-049-0037,AQS
10/29/2013,28,FRANKLIN_PK,39-049-0037,AQS
10/30/2013,25,FRANKLIN_PK,39-049-0037,AQS
10/31/2013,10,FRANKLIN_PK,39-049-0037,AQS
11/1/2013,17,FRANKLIN_PK,39-049-0037,AQS
11/2/2013,8,FRANKLIN_PK,39-049-0037,AQS
11/3/2013,17,FRANKLIN_PK,39-049-0037,AQS
11/4/2013,26,FRANKLIN_PK,39-049-0037,AQS
11/5/2013,22,FRANKLIN_PK,39-049-0037,AQS
11/6/2013,22,FRANKLIN_PK,39-049-0037,AQS
11/7/2013,25,FRANKLIN_PK,39-049-0037,AQS
11/8/2013,24,FRANKLIN_PK,39-049-0037,AQS
11/9/2013,21,FRANKLIN_PK,39-049-0037,AQS
11/10/2013,25,FRANKLIN_PK,39-049-0037,AQS
11/11/2013,20,FRANKLIN_PK,39-049-0037,AQS
11/12/2013,13,FRANKLIN_PK,39-049-0037,AQS
11/13/2013,21,FRANKLIN_PK,39-049-0037,AQS
11/14/2013,32,FRANKLIN_PK,39-049-0037,AQS
11/15/2013,23,FRANKLIN_PK,39-049-0037,AQS
11/16/2013,15,FRANKLIN_PK,39-049-0037,AQS
11/17/2013,5,FRANKLIN_PK,39-049-0037,AQS
11/18/2013,11,FRANKLIN_PK,39-049-0037,AQS
11/19/2013,27,FRANKLIN_PK,39-049-0037,AQS
11/20/2013,18,FRANKLIN_PK,39-049-0037,AQS
11/21/2013,22,FRANKLIN_PK,39-049-0037,AQS
11/23/2013,8,FRANKLIN_PK,39-049-0037,AQS
11/24/2013,23,FRANKLIN_PK,39-049-0037,AQS
11/25/2013,22,FRANKLIN_PK,39-049-0037,AQS
11/26/2013,22,FRANKLIN_PK,39-049-0037,AQS
11/27/2013,11,FRANKLIN_PK,39-049-0037,AQS
11/28/2013,11,FRANKLIN_PK,39-049-0037,AQS
11/29/2013,24,FRANKLIN_PK,39-049-0037,AQS
11/30/2013,27,FRANKLIN_PK,39-049-0037,AQS
12/1/2013,24,FRANKLIN_PK,39-049-0037,AQS
12/2/2013,21,FRANKLIN_PK,39-049-0037,AQS
12/3/2013,25,FRANKLIN_PK,39-049-0037,AQS
12/4/2013,19,FRANKLIN_PK,39-049-0037,AQS
12/5/2013,11,FRANKLIN_PK,39-049-0037,AQS
12/6/2013,11,FRANKLIN_PK,39-049-0037,AQS
12/7/2013,29,FRANKLIN_PK,39-049-0037,AQS
12/8/2013,18,FRANKLIN_PK,39-049-0037,AQS
12/10/2013,22,FRANKLIN_PK,39-049-0037,AQS
12/11/2013,27,FRANKLIN_PK,39-049-0037,AQS
12/12/2013,25,FRANKLIN_PK,39-049-0037,AQS
12/13/2013,34,FRANKLIN_PK,39-049-0037,AQS
12/14/2013,32,FRANKLIN_PK,39-049-0037,AQS
12/15/2013,11,FRANKLIN_PK,39-049-0037,AQS
12/16/2013,17,FRANKLIN_PK,39-049-0037,AQS
12/17/2013,18,FRANKLIN_PK,39-049-0037,AQS
12/18/2013,34,FRANKLIN_PK,39-049-0037,AQS
12/19/2013,40,FRANKLIN_PK,39-049-0037,AQS
12/20/2013,24,FRANKLIN_PK,39-049-0037,AQS
12/21/2013,10,FRANKLIN_PK,39-049-0037,AQS
12/22/2013,11,FRANKLIN_PK,39-049-0037,AQS
12/23/2013,6,FRANKLIN_PK,39-049-0037,AQS
12/24/2013,14,FRANKLIN_PK,39-049-0037,AQS
12/25/2013,16,FRANKLIN_PK,39-049-0037,AQS
12/26/2013,16,FRANKLIN_PK,39-049-0037,AQS
12/27/2013,15,FRANKLIN_PK,39-049-0037,AQS
12/28/2013,14,FRANKLIN_PK,39-049-0037,AQS
12/29/2013,14,FRANKLIN_PK,39-049-0037,AQS
12/30/2013,9,FRANKLIN_PK,39-049-0037,AQS
12/31/2013,21,FRANKLIN_PK,39-049-0037,AQS
1/1/2014,24,Smoky Row Near Road,39-049-0038,AQS
1/2/2014,33,Smoky Row Near Road,39-049-0038,AQS
1/3/2014,32,Smoky Row Near Road,39-049-0038,AQS
1/4/2014,41,FRANKLIN_PK,39-049-0037,AQS
1/5/2014,36,FRANKLIN_PK,39-049-0037,AQS
1/6/2014,10,Smoky Row Near Road,39-049-0038,AQS
1/7/2014,17,Smoky Row Near Road,39-049-0038,AQS
1/8/2014,28,FRANKLIN_PK,39-049-0037,AQS
1/9/2014,31,Smoky Row Near Road,39-049-0038,AQS
1/10/2014,26,Smoky Row Near Road,39-049-0038,AQS
1/11/2014,12,Smoky Row Near Road,39-049-0038,AQS
1/12/2014,22,FRANKLIN_PK,39-049-0037,AQS
1/13/2014,23,FRANKLIN_PK,39-049-0037,AQS
1/14/2014,19,Smoky Row Near Road,39-049-0038,AQS
1/15/2014,15,Smoky Row Near Road,39-049-0038,AQS
1/16/2014,22,FRANKLIN_PK,39-049-0037,AQS
1/17/2014,25,FRANKLIN_PK,39-049-0037,AQS
1/18/2014,14,Smoky Row Near Road,39-049-0038,AQS
1/19/2014,22,FRANKLIN_PK,39-049-0037,AQS
1/20/2014,34,FRANKLIN_PK,39-049-0037,AQS
1/21/2014,28,Smoky Row Near Road,39-049-0038,AQS
1/22/2014,36,FRANKLIN_PK,39-049-0037,AQS
1/23/2014,12,Smoky Row Near Road,39-049-0038,AQS
1/24/2014,23,Smoky Row Near Road,39-049-0038,AQS
1/25/2014,9,Smoky Row Near Road,39-049-0038,AQS
1/26/2014,40,FRANKLIN_PK,39-049-0037,AQS
1/27/2014,13,FRANKLIN_PK,39-049-0037,AQS
1/28/2014,44,FRANKLIN_PK,39-049-0037,AQS
1/29/2014,50,FRANKLIN_PK,39-049-0037,AQS
1/30/2014,35,FRANKLIN_PK,39-049-0037,AQS
1/31/2014,39,FRANKLIN_PK,39-049-0037,AQS
2/1/2014,42,FRANKLIN_PK,39-049-0037,AQS
2/2/2014,23,FRANKLIN_PK,39-049-0037,AQS
2/3/2014,25,FRANKLIN_PK,39-049-0037,AQS
2/4/2014,35,FRANKLIN_PK,39-049-0037,AQS
2/5/2014,20,FRANKLIN_PK,39-049-0037,AQS
2/6/2014,40,FRANKLIN_PK,39-049-0037,AQS
2/7/2014,46,FRANKLIN_PK,39-049-0037,AQS
2/8/2014,61,FRANKLIN_PK,39-049-0037,AQS
2/9/2014,27,Smoky Row Near Road,39-049-0038,AQS
2/10/2014,35,FRANKLIN_PK,39-049-0037,AQS
2/11/2014,51,FRANKLIN_PK,39-049-0037,AQS
2/12/2014,60,FRANKLIN_PK,39-049-0037,AQS
2/13/2014,50,Smoky Row Near Road,39-049-0038,AQS
2/14/2014,29,FRANKLIN_PK,39-049-0037,AQS
2/15/2014,49,FRANKLIN_PK,39-049-0037,AQS
2/16/2014,52,FRANKLIN_PK,39-049-0037,AQS
2/17/2014,61,FRANKLIN_PK,39-049-0037,AQS
2/18/2014,48,Smoky Row Near Road,39-049-0038,AQS
2/19/2014,48,FRANKLIN_PK,39-049-0037,AQS
2/20/2014,50,Smoky Row Near Road,39-049-0038,AQS
2/21/2014,17,Smoky Row Near Road,39-049-0038,AQS
2/22/2014,15,FRANKLIN_PK,39-049-0037,AQS
2/23/2014,24,Smoky Row Near Road,39-049-0038,AQS
2/24/2014,11,Smoky Row Near Road,39-049-0038,AQS
2/25/2014,10,FRANKLIN_PK,39-049-0037,AQS
2/26/2014,35,Smoky Row Near Road,39-049-0038,AQS
2/27/2014,18,FRANKLIN_PK,39-049-0037,AQS
2/28/2014,37,Smoky Row Near Road,39-049-0038,AQS
