Date,Ozone_AQI_Value,Site Name,Site ID,Source
10/2/2015,25,Notre Dame,39-055-0004,AQS
10/3/2015,22,Painesville,39-085-0007,AQS
10/4/2015,22,Chippewa,39-103-0004,AQS
10/5/2015,31,Notre Dame,39-055-0004,AQS
10/6/2015,32,Chippewa,39-103-0004,AQS
10/7/2015,38,Notre Dame,39-055-0004,AQS
10/8/2015,47,Notre Dame,39-055-0004,AQS
10/9/2015,34,Eastlake,39-085-0003,AQS
10/10/2015,33,Notre Dame,39-055-0004,AQS
10/11/2015,47,Notre Dame,39-055-0004,AQS
10/12/2015,47,Notre Dame,39-055-0004,AQS
10/13/2015,31,Notre Dame,39-055-0004,AQS
10/14/2015,27,Eastlake,39-085-0003,AQS
10/15/2015,40,Eastlake,39-085-0003,AQS
10/16/2015,33,Eastlake,39-085-0003,AQS
10/17/2015,32,Eastlake,39-085-0003,AQS
10/18/2015,34,Eastlake,39-085-0003,AQS
10/19/2015,42,Notre Dame,39-055-0004,AQS
10/20/2015,50,Notre Dame,39-055-0004,AQS
10/21/2015,61,Notre Dame,39-055-0004,AQS
10/22/2015,43,Notre Dame,39-055-0004,AQS
10/23/2015,35,Notre Dame,39-055-0004,AQS
10/24/2015,32,Notre Dame,39-055-0004,AQS
10/25/2015,32,Notre Dame,39-055-0004,AQS
10/26/2015,32,Notre Dame,39-055-0004,AQS
10/27/2015,25,Notre Dame,39-055-0004,AQS
10/28/2015,25,Notre Dame,39-055-0004,AQS
10/29/2015,28,Notre Dame,39-055-0004,AQS
10/30/2015,27,Notre Dame,39-055-0004,AQS
10/31/2015,24,Notre Dame,39-055-0004,AQS
11/1/2015,29,GT Craig NCore,39-035-0060,AQS
11/2/2015,2,GT Craig NCore,39-035-0060,AQS
11/3/2015,2,GT Craig NCore,39-035-0060,AQS
11/4/2015,9,GT Craig NCore,39-035-0060,AQS
11/5/2015,27,GT Craig NCore,39-035-0060,AQS
11/6/2015,19,GT Craig NCore,39-035-0060,AQS
11/7/2015,25,GT Craig NCore,39-035-0060,AQS
11/8/2015,25,GT Craig NCore,39-035-0060,AQS
11/9/2015,20,GT Craig NCore,39-035-0060,AQS
11/10/2015,13,GT Craig NCore,39-035-0060,AQS
11/11/2015,29,GT Craig NCore,39-035-0060,AQS
11/12/2015,20,GT Craig NCore,39-035-0060,AQS
11/13/2015,22,GT Craig NCore,39-035-0060,AQS
11/14/2015,23,GT Craig NCore,39-035-0060,AQS
11/15/2015,31,GT Craig NCore,39-035-0060,AQS
11/16/2015,14,GT Craig NCore,39-035-0060,AQS
11/17/2015,29,GT Craig NCore,39-035-0060,AQS
11/18/2015,29,GT Craig NCore,39-035-0060,AQS
11/19/2015,27,GT Craig NCore,39-035-0060,AQS
11/20/2015,27,GT Craig NCore,39-035-0060,AQS
11/21/2015,24,GT Craig NCore,39-035-0060,AQS
11/22/2015,29,GT Craig NCore,39-035-0060,AQS
11/23/2015,23,GT Craig NCore,39-035-0060,AQS
11/24/2015,19,GT Craig NCore,39-035-0060,AQS
11/25/2015,22,GT Craig NCore,39-035-0060,AQS
11/26/2015,34,GT Craig NCore,39-035-0060,AQS
11/27/2015,33,GT Craig NCore,39-035-0060,AQS
11/28/2015,21,GT Craig NCore,39-035-0060,AQS
11/29/2015,25,GT Craig NCore,39-035-0060,AQS
11/30/2015,14,GT Craig NCore,39-035-0060,AQS
12/1/2015,8,GT Craig NCore,39-035-0060,AQS
12/2/2015,18,GT Craig NCore,39-035-0060,AQS
12/3/2015,16,GT Craig NCore,39-035-0060,AQS
12/4/2015,16,GT Craig NCore,39-035-0060,AQS
12/5/2015,6,GT Craig NCore,39-035-0060,AQS
12/6/2015,10,GT Craig NCore,39-035-0060,AQS
12/7/2015,12,GT Craig NCore,39-035-0060,AQS
12/8/2015,17,GT Craig NCore,39-035-0060,AQS
12/9/2015,26,GT Craig NCore,39-035-0060,AQS
12/10/2015,26,GT Craig NCore,39-035-0060,AQS
12/11/2015,23,GT Craig NCore,39-035-0060,AQS
12/12/2015,18,GT Craig NCore,39-035-0060,AQS
12/13/2015,17,GT Craig NCore,39-035-0060,AQS
12/14/2015,30,GT Craig NCore,39-035-0060,AQS
12/15/2015,8,GT Craig NCore,39-035-0060,AQS
12/16/2015,19,GT Craig NCore,39-035-0060,AQS
12/17/2015,21,GT Craig NCore,39-035-0060,AQS
12/18/2015,23,GT Craig NCore,39-035-0060,AQS
12/19/2015,20,GT Craig NCore,39-035-0060,AQS
12/20/2015,26,GT Craig NCore,39-035-0060,AQS
12/21/2015,27,GT Craig NCore,39-035-0060,AQS
12/22/2015,13,GT Craig NCore,39-035-0060,AQS
12/23/2015,26,GT Craig NCore,39-035-0060,AQS
12/24/2015,27,GT Craig NCore,39-035-0060,AQS
12/25/2015,19,GT Craig NCore,39-035-0060,AQS
12/26/2015,19,GT Craig NCore,39-035-0060,AQS
12/27/2015,27,GT Craig NCore,39-035-0060,AQS
12/28/2015,23,GT Craig NCore,39-035-0060,AQS
12/29/2015,19,GT Craig NCore,39-035-0060,AQS
12/30/2015,19,GT Craig NCore,39-035-0060,AQS
12/31/2015,25,GT Craig NCore,39-035-0060,AQS
1/1/2016,29,GT Craig NCore,39-035-0060,AQS
1/2/2016,23,GT Craig NCore,39-035-0060,AQS
1/3/2016,31,GT Craig NCore,39-035-0060,AQS
1/4/2016,28,GT Craig NCore,39-035-0060,AQS
1/5/2016,17,GT Craig NCore,39-035-0060,AQS
1/6/2016,16,GT Craig NCore,39-035-0060,AQS
1/7/2016,12,GT Craig NCore,39-035-0060,AQS
1/9/2016,19,GT Craig NCore,39-035-0060,AQS
1/10/2016,29,GT Craig NCore,39-035-0060,AQS
1/11/2016,28,GT Craig NCore,39-035-0060,AQS
1/12/2016,26,GT Craig NCore,39-035-0060,AQS
1/13/2016,27,GT Craig NCore,39-035-0060,AQS
1/14/2016,28,GT Craig NCore,39-035-0060,AQS
1/15/2016,25,GT Craig NCore,39-035-0060,AQS
1/16/2016,29,GT Craig NCore,39-035-0060,AQS
1/17/2016,27,GT Craig NCore,39-035-0060,AQS
1/18/2016,22,GT Craig NCore,39-035-0060,AQS
1/19/2016,19,GT Craig NCore,39-035-0060,AQS
1/20/2016,17,GT Craig NCore,39-035-0060,AQS
1/21/2016,18,GT Craig NCore,39-035-0060,AQS
1/22/2016,31,GT Craig NCore,39-035-0060,AQS
1/23/2016,31,GT Craig NCore,39-035-0060,AQS
1/24/2016,31,GT Craig NCore,39-035-0060,AQS
1/25/2016,31,GT Craig NCore,39-035-0060,AQS
1/26/2016,30,GT Craig NCore,39-035-0060,AQS
1/27/2016,20,GT Craig NCore,39-035-0060,AQS
1/28/2016,23,GT Craig NCore,39-035-0060,AQS
1/29/2016,24,GT Craig NCore,39-035-0060,AQS
1/30/2016,31,GT Craig NCore,39-035-0060,AQS
1/31/2016,37,GT Craig NCore,39-035-0060,AQS
2/1/2016,23,GT Craig NCore,39-035-0060,AQS
2/2/2016,27,GT Craig NCore,39-035-0060,AQS
2/3/2016,28,GT Craig NCore,39-035-0060,AQS
2/4/2016,21,GT Craig NCore,39-035-0060,AQS
2/5/2016,25,GT Craig NCore,39-035-0060,AQS
2/6/2016,26,GT Craig NCore,39-035-0060,AQS
2/7/2016,38,GT Craig NCore,39-035-0060,AQS
2/8/2016,29,GT Craig NCore,39-035-0060,AQS
2/9/2016,20,GT Craig NCore,39-035-0060,AQS
2/10/2016,31,GT Craig NCore,39-035-0060,AQS
2/11/2016,31,GT Craig NCore,39-035-0060,AQS
2/12/2016,33,GT Craig NCore,39-035-0060,AQS
2/13/2016,32,GT Craig NCore,39-035-0060,AQS
2/14/2016,32,GT Craig NCore,39-035-0060,AQS
2/15/2016,21,GT Craig NCore,39-035-0060,AQS
2/16/2016,16,GT Craig NCore,39-035-0060,AQS
2/17/2016,23,GT Craig NCore,39-035-0060,AQS
2/18/2016,28,GT Craig NCore,39-035-0060,AQS
2/19/2016,37,GT Craig NCore,39-035-0060,AQS
2/20/2016,37,GT Craig NCore,39-035-0060,AQS
2/21/2016,26,GT Craig NCore,39-035-0060,AQS
2/22/2016,23,GT Craig NCore,39-035-0060,AQS
2/23/2016,21,GT Craig NCore,39-035-0060,AQS
2/24/2016,24,GT Craig NCore,39-035-0060,AQS
2/25/2016,33,GT Craig NCore,39-035-0060,AQS
2/26/2016,33,GT Craig NCore,39-035-0060,AQS
2/27/2016,34,GT Craig NCore,39-035-0060,AQS
2/28/2016,48,GT Craig NCore,39-035-0060,AQS
2/29/2016,31,GT Craig NCore,39-035-0060,AQS
3/1/2016,24,GT Craig NCore,39-035-0060,AQS
3/2/2016,29,GT Craig NCore,39-035-0060,AQS
3/3/2016,19,GT Craig NCore,39-035-0060,AQS
3/4/2016,32,GT Craig NCore,39-035-0060,AQS
3/5/2016,35,GT Craig NCore,39-035-0060,AQS
3/6/2016,35,GT Craig NCore,39-035-0060,AQS
3/7/2016,32,GT Craig NCore,39-035-0060,AQS
3/8/2016,43,GT Craig NCore,39-035-0060,AQS
3/9/2016,40,GT Craig NCore,39-035-0060,AQS
3/10/2016,23,GT Craig NCore,39-035-0060,AQS
