Date,Nitrogen_Dioxide_AQI_Value,Site Name,Site ID,Source
1/1/2010,19,GT Craig NCore,39-035-0060,AQS
1/2/2010,17,GT Craig NCore,39-035-0060,AQS
1/3/2010,19,GT Craig NCore,39-035-0060,AQS
1/4/2010,24,GT Craig NCore,39-035-0060,AQS
1/5/2010,26,GT Craig NCore,39-035-0060,AQS
1/6/2010,26,GT Craig NCore,39-035-0060,AQS
1/7/2010,31,GT Craig NCore,39-035-0060,AQS
1/8/2010,28,GT Craig NCore,39-035-0060,AQS
1/9/2010,17,GT Craig NCore,39-035-0060,AQS
1/10/2010,36,GT Craig NCore,39-035-0060,AQS
1/11/2010,33,GT Craig NCore,39-035-0060,AQS
1/12/2010,33,GT Craig NCore,39-035-0060,AQS
1/13/2010,22,GT Craig NCore,39-035-0060,AQS
1/14/2010,38,GT Craig NCore,39-035-0060,AQS
1/15/2010,33,GT Craig NCore,39-035-0060,AQS
1/16/2010,28,GT Craig NCore,39-035-0060,AQS
1/17/2010,26,GT Craig NCore,39-035-0060,AQS
1/18/2010,17,GT Craig NCore,39-035-0060,AQS
1/19/2010,31,GT Craig NCore,39-035-0060,AQS
1/20/2010,22,GT Craig NCore,39-035-0060,AQS
1/21/2010,33,GT Craig NCore,39-035-0060,AQS
1/22/2010,31,GT Craig NCore,39-035-0060,AQS
1/23/2010,28,GT Craig NCore,39-035-0060,AQS
1/24/2010,14,GT Craig NCore,39-035-0060,AQS
1/25/2010,26,GT Craig NCore,39-035-0060,AQS
1/26/2010,9,GT Craig NCore,39-035-0060,AQS
1/27/2010,9,GT Craig NCore,39-035-0060,AQS
1/28/2010,17,GT Craig NCore,39-035-0060,AQS
1/29/2010,36,GT Craig NCore,39-035-0060,AQS
1/30/2010,41,GT Craig NCore,39-035-0060,AQS
1/31/2010,41,GT Craig NCore,39-035-0060,AQS
2/1/2010,45,GT Craig NCore,39-035-0060,AQS
2/2/2010,77,GT Craig NCore,39-035-0060,AQS
2/3/2010,36,GT Craig NCore,39-035-0060,AQS
2/4/2010,50,GT Craig NCore,39-035-0060,AQS
2/5/2010,41,GT Craig NCore,39-035-0060,AQS
2/6/2010,12,GT Craig NCore,39-035-0060,AQS
2/7/2010,22,GT Craig NCore,39-035-0060,AQS
2/8/2010,47,GT Craig NCore,39-035-0060,AQS
2/9/2010,45,GT Craig NCore,39-035-0060,AQS
2/10/2010,22,GT Craig NCore,39-035-0060,AQS
2/11/2010,26,GT Craig NCore,39-035-0060,AQS
2/12/2010,26,GT Craig NCore,39-035-0060,AQS
2/13/2010,26,GT Craig NCore,39-035-0060,AQS
2/14/2010,17,GT Craig NCore,39-035-0060,AQS
2/15/2010,58,Chippewa,39-103-0004,AQS
2/16/2010,26,GT Craig NCore,39-035-0060,AQS
2/17/2010,22,GT Craig NCore,39-035-0060,AQS
2/18/2010,19,GT Craig NCore,39-035-0060,AQS
2/19/2010,33,GT Craig NCore,39-035-0060,AQS
2/20/2010,50,GT Craig NCore,39-035-0060,AQS
2/21/2010,50,GT Craig NCore,39-035-0060,AQS
2/22/2010,42,GT Craig NCore,39-035-0060,AQS
2/23/2010,41,GT Craig NCore,39-035-0060,AQS
2/24/2010,42,GT Craig NCore,39-035-0060,AQS
2/25/2010,22,GT Craig NCore,39-035-0060,AQS
2/26/2010,26,GT Craig NCore,39-035-0060,AQS
2/27/2010,14,GT Craig NCore,39-035-0060,AQS
2/28/2010,19,GT Craig NCore,39-035-0060,AQS
3/1/2010,24,GT Craig NCore,39-035-0060,AQS
3/2/2010,22,GT Craig NCore,39-035-0060,AQS
3/3/2010,24,GT Craig NCore,39-035-0060,AQS
3/4/2010,38,GT Craig NCore,39-035-0060,AQS
3/5/2010,24,GT Craig NCore,39-035-0060,AQS
3/6/2010,50,GT Craig NCore,39-035-0060,AQS
3/7/2010,41,GT Craig NCore,39-035-0060,AQS
3/8/2010,46,Chippewa,39-103-0004,AQS
3/9/2010,71,GT Craig NCore,39-035-0060,AQS
3/10/2010,50,GT Craig NCore,39-035-0060,AQS
3/11/2010,47,GT Craig NCore,39-035-0060,AQS
3/12/2010,17,GT Craig NCore,39-035-0060,AQS
3/13/2010,19,GT Craig NCore,39-035-0060,AQS
3/14/2010,17,GT Craig NCore,39-035-0060,AQS
3/15/2010,41,GT Craig NCore,39-035-0060,AQS
3/16/2010,13,Chippewa,39-103-0004,AQS
3/17/2010,57,GT Craig NCore,39-035-0060,AQS
3/18/2010,55,GT Craig NCore,39-035-0060,AQS
3/19/2010,28,GT Craig NCore,39-035-0060,AQS
3/20/2010,17,GT Craig NCore,39-035-0060,AQS
3/21/2010,19,GT Craig NCore,39-035-0060,AQS
3/22/2010,26,GT Craig NCore,39-035-0060,AQS
3/23/2010,41,GT Craig NCore,39-035-0060,AQS
3/24/2010,50,GT Craig NCore,39-035-0060,AQS
3/25/2010,45,GT Craig NCore,39-035-0060,AQS
3/26/2010,26,GT Craig NCore,39-035-0060,AQS
3/27/2010,38,GT Craig NCore,39-035-0060,AQS
3/28/2010,24,GT Craig NCore,39-035-0060,AQS
3/29/2010,19,GT Craig NCore,39-035-0060,AQS
3/30/2010,47,GT Craig NCore,39-035-0060,AQS
3/31/2010,47,GT Craig NCore,39-035-0060,AQS
4/1/2010,52,GT Craig NCore,39-035-0060,AQS
4/2/2010,50,GT Craig NCore,39-035-0060,AQS
4/3/2010,24,GT Craig NCore,39-035-0060,AQS
4/4/2010,24,GT Craig NCore,39-035-0060,AQS
4/5/2010,45,GT Craig NCore,39-035-0060,AQS
4/6/2010,9,GT Craig NCore,39-035-0060,AQS
