Date,Nitrogen_Dioxide_AQI_Value,Site Name,Site ID,Source
4/21/2010,48,Taft NCore,39-061-0040,AQS
4/22/2010,45,Taft NCore,39-061-0040,AQS
4/23/2010,44,Taft NCore,39-061-0040,AQS
4/24/2010,16,Taft NCore,39-061-0040,AQS
4/25/2010,12,Taft NCore,39-061-0040,AQS
4/26/2010,21,Taft NCore,39-061-0040,AQS
4/27/2010,29,Taft NCore,39-061-0040,AQS
4/28/2010,43,Taft NCore,39-061-0040,AQS
4/29/2010,39,Taft NCore,39-061-0040,AQS
4/30/2010,19,Taft NCore,39-061-0040,AQS
5/1/2010,14,Taft NCore,39-061-0040,AQS
5/2/2010,10,Taft NCore,39-061-0040,AQS
5/3/2010,20,Taft NCore,39-061-0040,AQS
5/4/2010,42,Taft NCore,39-061-0040,AQS
5/5/2010,32,Taft NCore,39-061-0040,AQS
5/6/2010,27,Taft NCore,39-061-0040,AQS
5/7/2010,26,Taft NCore,39-061-0040,AQS
5/8/2010,6,Taft NCore,39-061-0040,AQS
5/9/2010,30,Taft NCore,39-061-0040,AQS
5/10/2010,33,Taft NCore,39-061-0040,AQS
5/11/2010,21,Taft NCore,39-061-0040,AQS
5/12/2010,25,Taft NCore,39-061-0040,AQS
5/13/2010,12,Taft NCore,39-061-0040,AQS
5/14/2010,21,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
5/15/2010,20,Taft NCore,39-061-0040,AQS
5/16/2010,8,Taft NCore,39-061-0040,AQS
5/17/2010,17,Taft NCore,39-061-0040,AQS
5/18/2010,16,Taft NCore,39-061-0040,AQS
5/19/2010,24,Taft NCore,39-061-0040,AQS
5/20/2010,23,Taft NCore,39-061-0040,AQS
5/21/2010,23,Taft NCore,39-061-0040,AQS
5/22/2010,31,Taft NCore,39-061-0040,AQS
5/23/2010,29,Taft NCore,39-061-0040,AQS
5/24/2010,32,Taft NCore,39-061-0040,AQS
5/25/2010,26,Taft NCore,39-061-0040,AQS
5/26/2010,36,Taft NCore,39-061-0040,AQS
5/27/2010,40,Taft NCore,39-061-0040,AQS
5/28/2010,40,Taft NCore,39-061-0040,AQS
5/29/2010,21,Taft NCore,39-061-0040,AQS
5/30/2010,23,Taft NCore,39-061-0040,AQS
5/31/2010,14,Taft NCore,39-061-0040,AQS
6/1/2010,31,Taft NCore,39-061-0040,AQS
6/2/2010,24,Taft NCore,39-061-0040,AQS
6/3/2010,39,Taft NCore,39-061-0040,AQS
6/4/2010,35,Taft NCore,39-061-0040,AQS
6/5/2010,10,Taft NCore,39-061-0040,AQS
6/6/2010,10,Taft NCore,39-061-0040,AQS
6/7/2010,18,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
6/8/2010,22,Taft NCore,39-061-0040,AQS
6/9/2010,19,Taft NCore,39-061-0040,AQS
6/10/2010,47,Taft NCore,39-061-0040,AQS
6/11/2010,28,Taft NCore,39-061-0040,AQS
6/12/2010,15,Taft NCore,39-061-0040,AQS
6/13/2010,16,Taft NCore,39-061-0040,AQS
6/14/2010,19,Taft NCore,39-061-0040,AQS
6/15/2010,21,Taft NCore,39-061-0040,AQS
6/16/2010,20,Taft NCore,39-061-0040,AQS
6/17/2010,38,Taft NCore,39-061-0040,AQS
6/18/2010,38,Taft NCore,39-061-0040,AQS
6/19/2010,12,Taft NCore,39-061-0040,AQS
6/20/2010,34,Taft NCore,39-061-0040,AQS
6/21/2010,28,Taft NCore,39-061-0040,AQS
6/22/2010,33,Taft NCore,39-061-0040,AQS
6/23/2010,25,Taft NCore,39-061-0040,AQS
6/24/2010,16,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
6/25/2010,49,Taft NCore,39-061-0040,AQS
6/26/2010,44,Taft NCore,39-061-0040,AQS
6/27/2010,12,Taft NCore,39-061-0040,AQS
6/28/2010,14,Taft NCore,39-061-0040,AQS
6/29/2010,20,Taft NCore,39-061-0040,AQS
6/30/2010,24,Taft NCore,39-061-0040,AQS
7/1/2010,27,Taft NCore,39-061-0040,AQS
7/2/2010,20,Taft NCore,39-061-0040,AQS
7/3/2010,25,Taft NCore,39-061-0040,AQS
7/4/2010,30,Taft NCore,39-061-0040,AQS
7/5/2010,29,Taft NCore,39-061-0040,AQS
7/6/2010,32,Taft NCore,39-061-0040,AQS
7/7/2010,57,Taft NCore,39-061-0040,AQS
7/8/2010,46,Taft NCore,39-061-0040,AQS
7/9/2010,12,Taft NCore,39-061-0040,AQS
7/10/2010,34,Taft NCore,39-061-0040,AQS
7/11/2010,29,Taft NCore,39-061-0040,AQS
7/12/2010,23,Taft NCore,39-061-0040,AQS
7/13/2010,36,Taft NCore,39-061-0040,AQS
7/14/2010,22,Taft NCore,39-061-0040,AQS
7/15/2010,20,Taft NCore,39-061-0040,AQS
7/16/2010,21,Taft NCore,39-061-0040,AQS
7/17/2010,32,Taft NCore,39-061-0040,AQS
7/18/2010,18,Taft NCore,39-061-0040,AQS
7/19/2010,21,Taft NCore,39-061-0040,AQS
7/20/2010,19,Taft NCore,39-061-0040,AQS
7/21/2010,34,Taft NCore,39-061-0040,AQS
7/22/2010,24,Taft NCore,39-061-0040,AQS
7/23/2010,12,Taft NCore,39-061-0040,AQS
7/24/2010,18,Taft NCore,39-061-0040,AQS
7/25/2010,11,Taft NCore,39-061-0040,AQS
7/26/2010,11,Taft NCore,39-061-0040,AQS
7/27/2010,23,Taft NCore,39-061-0040,AQS
7/28/2010,7,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
7/29/2010,12,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
