OBJECTID,Tree cover per capita (m2/person),Green space per capita (m2/person),Percent tree cover,Percent green space,Particulate matter [PM2.5] (kg/yr),Percent particulate matter [PM2.5] removed annually by tree cover
2452,2042,3187,58,91,772,23.563594519099997
2453,1578,2650,52,88,713,21.482621174000002
2454,183,371,36,74,76,15.578655781799998
2455,262,598,32,73,138,13.685900565899999
2456,301,718,31,75,150,13.542680929500001
2457,850,1309,53,82,309,21.9163061468
2458,833,1731,35,74,229,15.240037711400001
2459,1057,3001,23,66,359,10.209561592800002
2460,1216,2854,35,82,1357,15.018072208
2466,293,500,40,68,74,16.7978905556
2467,500,790,45,71,188,18.560410098200002
2468,2646,6614,20,52,642,9.150036493730001
2469,114,233,26,53,64,11.4073115128
2470,199,695,16,56,52,7.10957115272
2471,709,1073,48,74,146,19.9285789031
2472,69,244,13,45,44,5.74908978916
2473,54,144,19,51,19,8.39879034098
2479,112,268,22,53,37,9.693293012839998
2480,104,237,24,55,31,10.4219217014
2481,154160,612387,5,21,58,2.41330551288
2510,355,729,35,72,197,16.6540143503
2512,360,645,36,64,174,17.0874761052
2513,992,1812,43,79,318,20.2464326779
2514,20,98,4,23,7,2.4150353358400003
2515,137,221,42,67,66,19.638056482400003
2516,1856,2953,51,82,1558,23.6480072456
2718,521,921,41,74,530,19.8352584881
2719,736,1272,42,73,700,20.091997102
2721,457,881,42,81,347,20.0503375959
2723,1133,1632,57,82,608,26.233264521299997
2724,202,489,28,68,153,13.8914687451
2726,367,1099,16,47,139,8.099650454599999
2729,4582,6587,62,89,3829,26.429604431499996
2730,11420,15677,65,89,6685,29.424869491300004
2731,1059,2175,32,67,1741,15.9496847803
2732,1045,2270,30,65,1224,14.792391268700001
2733,171,374,29,64,86,14.4871761312
2734,322,523,41,66,87,19.5210192106
2735,148,445,16,50,107,8.48892851804
2736,1490,2344,53,84,1822,24.7723306697
2737,1072,1644,51,79,407,23.9446566391
2738,866,1422,47,77,675,22.2515045047
2739,300,677,32,74,290,15.9747269102
2740,1086,1779,51,85,608,24.070793979999998
2741,644,1303,41,84,467,19.802079041099997
2742,3324,5070,59,91,2203,27.2141405988
2743,220,348,39,62,143,18.818650657699997
2744,1261,2187,49,85,640,23.0717790412
2745,6181,7553,76,93,2418,33.6142834604
2746,1521,2817,45,85,487,21.5505966212
2747,481,933,40,79,342,19.374130756499998
2748,362,792,33,73,275,16.299224749
2749,545,1186,37,81,234,17.968437037700003
2759,1571,2457,53,84,1289,23.9934670726
2763,1950,3081,56,88,2202,25.773998025799997
2764,3897,5583,65,93,1827,25.029505401399998
2765,11535,14222,76,94,6179,30.381316965499998
