OBJECTID,Tree cover per capita (m2/person),Green space per capita (m2/person),Percent tree cover,Percent green space,Particulate matter [PM2.5] (kg/yr),Percent particulate matter [PM2.5] removed annually by tree cover
1534,105,223,28,60,57,12.2911050233
1535,45,104,18,42,11,8.07458051523
1536,107,248,11,25,29,4.922384343669999
1537,65,162,17,43,15,7.80771943898
1538,71,178,18,47,18,8.3240615136
1539,82,167,25,51,19,10.9314706032
1540,197,510,24,63,43,10.7127350847
1541,127,296,28,65,34,12.0871488526
1542,109,281,23,59,50,10.040795378699999
1543,54,179,17,56,11,7.64830424435
1544,52,149,18,53,23,8.235311265750001
1545,45,131,17,48,12,7.50188704318
1546,66,158,20,49,11,8.8524165161
1547,87,170,26,52,16,11.422401991100001
1548,116,263,23,52,24,9.910053658399999
1549,55,157,17,48,12,7.51913904094
1550,39,127,15,50,7,6.78964714927
1551,68,205,19,58,29,8.38154832139
1552,105,237,20,45,13,8.76523899448
1553,80,157,30,59,14,12.8608060853
1554,48,102,25,54,15,10.9712408685
1555,99,170,34,59,26,14.617186604599999
1556,70,139,24,48,15,10.6089348336
1557,140,273,28,55,24,12.146159303700001
1558,71,169,22,53,24,9.82010669225
1559,69,140,26,54,18,11.2768457463
1560,33,79,16,39,5,7.24546351457
1561,63,138,26,57,16,11.2437365397
1562,85,254,19,58,31,8.542313265239997
1563,68,160,22,53,23,9.844169488060002
1564,117,287,11,28,36,5.20906729813
1565,52,121,22,51,8,9.482511110079999
1566,85,164,27,53,14,11.781086218499999
1567,68,162,21,49,17,9.085839218850001
1568,30,80,17,44,7,7.429571847569999
1569,50,126,19,47,14,8.3606191756
1570,104,223,25,55,26,11.081411012
1571,102,248,16,39,22,7.063486588330001
1572,82,156,28,54,12,12.0734196058
1573,87,190,24,52,19,10.2987780682
1574,240,496,27,56,53,11.544917603
1575,53,106,23,46,18,10.0592543898
1576,59,136,23,53,19,9.9845568484
1577,148,363,14,35,39,6.4163416708800005
1578,97,217,17,39,17,7.6924868355800005
1579,42,92,23,52,33,10.2257352675
1580,57,259,10,46,11,4.53342345882
1581,70,132,30,58,17,12.9506415293
1582,67,144,25,54,18,10.8010989578
1583,80,335,6,25,31,2.7297615641799995
1584,113,217,22,43,53,9.772961787589999
1585,85,275,13,43,28,5.947023336519999
1586,116,249,24,53,16,10.51603781
1587,85,251,13,38,23,5.72459268636
1588,75,157,23,47,22,9.873494199889999
1589,48,230,9,42,16,4.00649346526
1590,82,275,8,28,14,3.7343447336300004
1591,28,94,11,39,5,5.2624255588199995
1592,24,81,12,42,7,5.649897340969999
1593,250,552,27,60,111,11.6395884417
1594,75,169,23,51,31,9.923214139450002
1595,114,232,30,61,29,12.823713033299999
1596,42,148,13,45,16,5.8047011824900006
1597,37,138,12,46,8,5.58368393513
1598,71,326,9,44,16,4.28091030487
1599,40,115,16,46,21,7.0143085808
1600,102,243,21,51,43,9.28512804037
1601,372,876,24,57,71,10.3990994756
1602,109,340,14,45,36,6.49224027667
1603,88,398,7,32,21,3.1998955368099997
1604,82,213,17,46,26,7.78694715437
1605,105,170,38,62,21,16.0464755102
1606,102,240,14,33,23,6.36015718635
1607,99,185,24,46,19,10.625639578900001
1608,246,347,49,69,49,20.0664287159
1609,40,93,21,50,15,9.419490434610001
1610,73,160,24,53,15,10.407814951999999
1611,56,124,24,53,13,10.425134827299999
1612,90,190,25,54,18,11.0645494553
1613,70,156,23,53,12,10.2726453451
1614,90,193,25,55,14,11.095731718900002
1615,213,297,44,62,47,18.3521946041
1616,78,168,27,58,12,11.653588134000001
1617,86,195,22,51,22,9.749092388589998
1618,96,198,28,58,28,12.0965154454
1619,72,154,25,55,20,11.0439277369
1620,61,136,18,41,11,8.17333329728
1621,56,124,24,54,11,10.574454139799998
1622,83,195,22,52,16,9.58780912661
1623,87,189,27,58,15,11.6113077521
1624,91,160,32,57,29,13.8230541063
1625,58,98,33,57,25,14.2531412281
1626,56,107,24,47,64,10.6699386938
1627,261,463,27,47,64,11.588187164499999
1628,180,293,37,61,94,15.861000055299998
1629,121,163,38,51,30,15.9184745451
1630,38,75,14,28,14,6.46065674159
1631,128,304,20,48,67,8.85825643364
1632,745,1827,12,29,35,5.41188979179
1633,194,509,25,66,74,10.857458176200002
1634,74,170,22,52,12,9.85469617276
1635,53,82,33,50,23,14.130721426200003
1636,116,304,17,45,37,7.649838341330001
1637,67,135,28,57,28,12.1887329085
1638,155,277,32,57,42,13.580939937300002
1639,47,98,20,41,13,8.802444703980001
1640,49,112,20,45,12,8.768783423070001
1641,47,107,18,41,11,7.989598249919999
1642,52,110,22,47,11,9.79710279977
1643,49,99,22,46,10,9.97922489898
1644,69,114,31,51,23,13.3556751939
1645,40,87,20,44,17,8.97116310421
1646,27,54,19,39,4,8.619496603499998
1647,38,80,19,41,25,8.659078817420001
1648,89,178,28,56,29,12.2299755404
1649,84,350,13,57,27,6.1638332799899995
1650,147,268,31,56,25,13.3557718419
1651,108,290,26,69,21,11.208190957900001
1652,89,199,28,63,33,12.2625580668
1653,49,108,24,53,19,10.6799205272
1654,70,128,30,55,28,12.9033405537
1655,71,144,29,59,18,12.5008814508
1656,78,150,32,62,13,13.7819754143
1657,71,156,24,54,22,10.785623446099999
1658,38,118,16,50,6,7.182532462389999
1659,125,226,34,62,23,14.6787488119
1660,58,151,20,54,10,9.03784104876
1661,68,151,25,56,12,11.0970532225
1662,85,199,25,60,20,11.1101632482
1663,55,126,21,49,22,9.461560989250001
1664,50,119,19,46,23,8.67874588646
1665,90,189,27,58,20,11.983891942700001
1666,54,124,24,54,14,10.4945096436
1667,103,225,28,61,38,12.0602612183
1668,95,218,26,59,27,11.241766264399999
1669,84,169,27,54,17,11.7029314312
1670,171,339,31,62,20,13.4242056532
1671,102,221,27,60,31,11.9481889849
1672,101,226,27,61,47,11.9313006264
1673,54,128,22,52,23,9.67256472785
1674,71,168,21,51,42,9.556914518660003
1675,59,152,19,51,29,8.6893711828
1676,74,173,20,47,20,8.8783979388
1677,110,243,22,49,13,9.755909738949999
1678,66,159,20,49,15,9.00339730414
1679,66,161,22,54,22,9.76236993648
1680,65,155,22,53,17,9.748220906419998
1681,90,195,26,57,16,11.4899557362
1682,54,130,22,54,26,9.96483465933
1683,82,189,26,60,31,11.3756556289
1684,62,152,20,51,30,9.145635636849999
1685,76,165,27,59,26,11.8669121259
1686,49,129,17,45,17,7.63324303219
1687,50,124,21,51,14,9.17282045562
1688,49,185,13,49,10,5.8429628972300005
1689,67,141,25,54,13,11.219705105900001
1690,42,112,17,46,9,7.73787563859
1691,65,142,23,50,16,10.1203212856
1692,132,247,35,66,49,15.050419219799998
1693,259,643,31,78,35,13.503411894600001
1694,216,467,30,65,76,12.9999718908
1695,86,208,16,40,22,7.4761834149399995
1696,81,200,19,49,33,8.731512648769998
1697,74,161,25,55,26,10.996169843499999
1698,99,229,24,55,43,10.4890797043
1699,110,231,30,63,30,12.8967112672
1700,56,152,19,53,19,8.56396817235
