Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
12/18/2019,58,PM2.5,Carthage,39-061-0014,AQS
12/19/2019,60,PM2.5,Carthage,39-061-0014,AQS
12/20/2019,83,PM2.5,BPG,39-017-0022,AQS
12/21/2019,78,PM2.5,Carthage,39-061-0014,AQS
12/22/2019,78,PM2.5,Carthage,39-061-0014,AQS
12/23/2019,86,PM2.5,BPG,39-017-0022,AQS
12/24/2019,80,PM2.5,Carthage,39-061-0014,AQS
12/25/2019,80,PM2.5,Carthage,39-061-0014,AQS
12/26/2019,44,PM2.5,Cincinnati Near Road,39-061-0048,AQS
12/27/2019,63,PM2.5,Taft NCore,39-061-0040,AQS
12/28/2019,68,PM2.5,Cincinnati Near Road,39-061-0048,AQS
12/29/2019,35,Ozone,Taft NCore,39-061-0040,AQS
12/30/2019,32,Ozone,Oxford,39-017-9991,AQS
12/31/2019,28,Ozone,Oxford,39-017-9991,AQS
