Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
4/2/2019,54,PM10,St Theodosius,39-035-0038,AQS
4/3/2019,65,PM10,St Theodosius,39-035-0038,AQS
4/4/2019,40,Ozone,Notre Dame,39-055-0004,AQS
4/5/2019,58,PM2.5,GT Craig NCore,39-035-0060,AQS
4/6/2019,81,PM2.5,GT Craig NCore,39-035-0060,AQS
4/7/2019,56,PM2.5,GT Craig NCore,39-035-0060,AQS
4/8/2019,48,PM2.5,Cleveland Near Road,39-035-0073,AQS
4/9/2019,50,Ozone,Notre Dame,39-055-0004,AQS
4/10/2019,32,Ozone,Mayfield,39-035-5002,AQS
4/11/2019,42,Ozone,Berea BOE,39-035-0064,AQS
4/12/2019,62,SO2,St Theodosius,39-035-0038,AQS
4/13/2019,47,Ozone,Notre Dame,39-055-0004,AQS
4/14/2019,40,Ozone,Notre Dame,39-055-0004,AQS
4/15/2019,48,Ozone,District 6,39-035-0034,AQS
4/16/2019,50,Ozone,Notre Dame,39-055-0004,AQS
4/17/2019,71,Ozone,Notre Dame,39-055-0004,AQS
4/18/2019,67,Ozone,Notre Dame,39-055-0004,AQS
4/19/2019,32,Ozone,Painesville,39-085-0007,AQS
4/20/2019,36,Ozone,District 6,39-035-0034,AQS
4/21/2019,37,Ozone,District 6,39-035-0034,AQS
4/22/2019,55,PM2.5,GT Craig NCore,39-035-0060,AQS
4/23/2019,56,PM10,St Theodosius,39-035-0038,AQS
4/24/2019,43,Ozone,Notre Dame,39-055-0004,AQS
4/25/2019,41,Ozone,Mayfield,39-035-5002,AQS
4/26/2019,45,Ozone,District 6,39-035-0034,AQS
4/27/2019,45,Ozone,District 6,39-035-0034,AQS
4/28/2019,45,Ozone,District 6,39-035-0034,AQS
4/29/2019,37,PM2.5,GT Craig NCore,39-035-0060,AQS
4/30/2019,41,PM2.5,Cleveland Fire St13,39-035-0045,AQS
5/1/2019,47,Ozone,Notre Dame,39-055-0004,AQS
5/2/2019,44,Ozone,Notre Dame,39-055-0004,AQS
5/3/2019,45,PM2.5,Cleveland Near Road,39-035-0073,AQS
5/4/2019,45,PM2.5,Cleveland Near Road,39-035-0073,AQS
5/5/2019,44,Ozone,Notre Dame,39-055-0004,AQS
5/6/2019,87,Ozone,Notre Dame,39-055-0004,AQS
5/7/2019,37,Ozone,Notre Dame,39-055-0004,AQS
5/8/2019,42,Ozone,Chippewa,39-103-0004,AQS
5/9/2019,59,PM10,Harvard Yards,39-035-0065,AQS
5/10/2019,33,Ozone,Notre Dame,39-055-0004,AQS
5/11/2019,46,PM2.5,GT Craig NCore,39-035-0060,AQS
5/12/2019,29,Ozone,Sheffield,39-093-0018,AQS
5/13/2019,35,Ozone,District 6,39-035-0034,AQS
5/14/2019,46,Ozone,Berea BOE,39-035-0064,AQS
5/15/2019,64,Ozone,Notre Dame,39-055-0004,AQS
5/16/2019,67,Ozone,Mayfield,39-035-5002,AQS
5/17/2019,44,PM2.5,Cleveland Near Road,39-035-0073,AQS
5/18/2019,58,Ozone,Mayfield,39-035-5002,AQS
5/19/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
5/20/2019,35,Ozone,Notre Dame,39-055-0004,AQS
5/21/2019,33,Ozone,Notre Dame,39-055-0004,AQS
5/22/2019,63,PM10,St Theodosius,39-035-0038,AQS
5/23/2019,61,Ozone,Notre Dame,39-055-0004,AQS
5/24/2019,43,Ozone,Berea BOE,39-035-0064,AQS
5/25/2019,58,PM2.5,GT Craig NCore,39-035-0060,AQS
5/26/2019,38,PM2.5,Cleveland Near Road,39-035-0073,AQS
5/27/2019,41,Ozone,Chippewa,39-103-0004,AQS
5/28/2019,60,PM2.5,GT Craig NCore,39-035-0060,AQS
5/29/2019,59,PM2.5,GT Craig NCore,39-035-0060,AQS
5/30/2019,64,PM2.5,GT Craig NCore,39-035-0060,AQS
5/31/2019,50,PM2.5,GT Craig NCore,39-035-0060,AQS
6/1/2019,53,PM2.5,Cleveland Near Road,39-035-0073,AQS
