Acute respiratory symptoms avoided due to particulate matter [PM2.5] removed (cases/yr),Value of mortality avoided due to particulate matter [PM2.5] removed ($/yr),Average reduction in nighttime ambient temperature (Celsius),Average reduction in daytime ambient temperature (Celsius),Particulate matter [PM2.5] (kg/yr),Percent tree cover in 15m buffer,Percent vegetated cover in 15m buffer,Percent particulate matter [PM2.5] removed annually by tree cover
0.24141907,6914.820192,0.208037376404,0.38694572448700004,15,-99999.0,-99999.0,0.0648219343635
0.38142005700000003,10924.78363,0.259908109903,0.486685454845,18,-99999.0,-99999.0,0.089629971271
0.274113398,7351.4263439999995,0.08585194498299999,0.157602250576,11,2.990000009536743,11.300000190734865,0.0275195917526
0.18073444800000002,5809.611139,0.12160965055199999,0.227686807513,49,5.800000190734862,27.420000076293945,0.0431090090029
0.291257202,9362.305347,0.281127005816,0.530008435249,18,-99999.0,-99999.0,0.0886728652665
0.569705104,18312.86266,0.401290535927,0.7494273185729999,32,-99999.0,-99999.0,0.12440220694599999
0.498458945,16022.69339,0.29509547352800003,0.564438581467,36,71.8499984741211,87.41999816894531,0.104432641258
0.445684619,12844.83143,0.291592031717,0.546034097672,43,-99999.0,-99999.0,0.0982149020475
0.42626643799999997,12285.1907,0.318735033274,0.591674685478,33,-99999.0,-99999.0,0.10543828437000001
0.387577116,11379.6146,0.267322093248,0.504301130772,35,-99999.0,-99999.0,0.08826913486089999
0.49133166100000003,14425.94189,0.334756404161,0.612524569035,50,-99999.0,-99999.0,0.10869063288799999
0.29165953,9196.319114,0.278031259775,0.515598237514,44,-99999.0,-99999.0,0.0903949647664
0.111866701,3527.2698939999996,0.184449255466,0.34911310672799994,6,-99999.0,-99999.0,0.0638675415319
0.095268189,2691.470376,0.109505347908,0.20013363659400002,36,12.18000030517578,51.5,0.036697887308699995
0.212263258,5996.7579350000005,0.221002027392,0.405553609133,19,-99999.0,-99999.0,0.0745076822717
0.272135533,7749.201238,0.206027701497,0.381234496832,10,-99999.0,-99999.0,0.0691939811553
0.503753922,14344.655659999999,0.312420040369,0.585995674133,27,-99999.0,-99999.0,0.10177074104699999
0.294089598,8938.802001,0.22085808217500003,0.40957826376,47,-99999.0,-99999.0,0.0746687241791
0.31257327,9500.612544,0.30180600285500003,0.56493729353,33,-99999.0,-99999.0,0.0988724147461
0.181265331,5230.070388,0.20394502580200002,0.372158616781,13,-99999.0,-99999.0,0.0672919107604
0.16109138,4647.988932,0.180887937546,0.330597251654,8,-99999.0,-99999.0,0.0659792717225
0.059913769000000006,1833.022875,0.0622349046171,0.115838296711,50,22.200000762939453,51.02999877929688,0.0222896543878
0.208492873,6378.704088,0.217335775495,0.400965362787,11,-99999.0,-99999.0,0.0745777435827
0.19516837,5971.049572999999,0.20034186542,0.38685891032200004,20,-99999.0,-99999.0,0.0652751565482
0.214663529,6061.297656000001,0.257034093142,0.48225450515699997,8,-99999.0,-99999.0,0.08220727819139999
0.12078667800000001,3410.565406,0.221177518368,0.41175603866599997,7,-99999.0,-99999.0,0.0749001806982
0.24577104,6939.657797,0.246414229274,0.45563581585900004,11,-99999.0,-99999.0,0.07614863875410001
0.25225117,7122.632484000001,0.272699564695,0.511878311634,16,-99999.0,-99999.0,0.0912461240371
0.5551194389999999,15889.78024,0.516380369663,0.9629693031309999,61,53.5,75.02999877929688,0.16396602904000002
0.28886327,8268.443791,0.324238479137,0.6069769859309999,13,-99999.0,-99999.0,0.112628904255
0.38873516700000005,11127.18443,0.284799724817,0.51393866539,18,-99999.0,-99999.0,0.09378044664719999
0.17500544699999998,5009.368976,0.20497418940099998,0.39910081028899996,8,-99999.0,-99999.0,0.07099995681919999
0.312859544,8955.312564,0.355028152466,0.6529774665829999,13,-99999.0,-99999.0,0.111279560943
0.514103741,14698.640430000001,0.305724591017,0.563600063324,27,-99999.0,-99999.0,0.09277098503219999
0.269938565,7717.761187,0.30559733510000003,0.587627112865,9,-99999.0,-99999.0,0.106708020022
0.501593081,14686.624269999998,0.361119180918,0.665699958801,91,-99999.0,-99999.0,0.118368199114
0.288525801,8448.023271,0.33595442771899997,0.622478723526,77,50.7400016784668,68.91000366210939,0.11116648046800001
0.20704726699999998,6062.335257,0.30398261547100003,0.547155380249,7,-99999.0,-99999.0,0.092255525731
0.76761786,25928.59318,0.338703274727,0.630943715572,64,45.70000076293945,73.31999969482422,0.11482486830600001
1.193792886,40323.93154,0.49448665976499995,0.9298605322840001,113,76.54000091552734,89.98999786376953,0.159874209638
0.303318413,10245.48819,0.230181634426,0.414220243692,13,-99999.0,-99999.0,0.075402557363
0.43164672600000004,14413.7455,0.290219992399,0.539713323116,42,-99999.0,-99999.0,0.0979226893918
0.190562802,6363.360489,0.149448946118,0.280773967505,26,-99999.0,-99999.0,0.051786600768800005
0.29369696100000003,9807.263662000001,0.187358543277,0.34585589170500003,25,-99999.0,-99999.0,0.0659463761364
1.186440436,35149.14736,0.588942468166,1.10101795197,160,44.7400016784668,62.459999084472656,0.186363588545
0.492141362,14580.04019,0.279366195202,0.533164024353,20,-99999.0,-99999.0,0.08754820546060002
0.113064715,3413.9803049999996,0.140052750707,0.249160334468,7,-99999.0,-99999.0,0.048446086242
0.216044176,6523.437136,0.21812136471299998,0.40675505995800004,11,-99999.0,-99999.0,0.06989090653489999
0.36528755700000004,11029.82945,0.218281984329,0.40385845303499995,23,40.86000061035156,70.5,0.07251122895260001
0.34530125100000003,11113.31315,0.23348604142700002,0.43827059865,13,-99999.0,-99999.0,0.0792105865569
